date,amount,price,sid,symbol,value
2023-07-01 02:53:02.000000,-1,30410.0,0,,30410.0
2023-07-01 02:55:03.000000,2,30410.0,0,,-60820.0
2023-07-01 02:55:29.000000,1,30414.4,0,,-30414.4
2023-07-01 02:56:00.000000,-2,30406.0,0,,60812.0
2023-07-01 02:56:02.000000,-1,30406.0,0,,30406.0
2023-07-01 02:58:46.000000,1,30398.0,0,,-30398.0
2023-07-01 02:59:02.000000,-1,30400.9,0,,30400.9
2023-07-01 02:59:03.000000,1,30400.9,0,,-30400.9
2023-07-01 03:00:02.000000,1,30408.0,0,,-30408.0
2023-07-01 03:03:02.000000,-2,30410.9,0,,60821.8
2023-07-01 03:04:02.000000,2,30410.9,0,,-60821.8
2023-07-01 03:04:10.000000,-3,30406.0,0,,91218.0
2023-07-01 03:04:26.000000,2,30404.6,0,,-60809.2
2023-07-01 03:05:02.000000,-1,30409.9,0,,30409.9
2023-07-01 03:05:03.000000,1,30411.9,0,,-30411.9
2023-07-01 03:06:02.000000,1,30428.1,0,,-30428.1
2023-07-01 03:06:53.000000,-1,30426.0,0,,30426.0
2023-07-01 03:07:02.000000,1,30424.0,0,,-30424.0
2023-07-01 03:07:44.000000,-1,30416.0,0,,30416.0
2023-07-01 03:08:02.000000,-1,30415.0,0,,30415.0
2023-07-01 03:10:02.000000,2,30415.0,0,,-60830.0
2023-07-01 03:10:09.000000,-2,30412.0,0,,60824.0
2023-07-01 03:10:11.000000,1,30408.0,0,,-30408.0
2023-07-01 03:12:02.000000,-1,30402.8,0,,30402.8
2023-07-01 03:16:02.000000,2,30397.9,0,,-60795.8
2023-07-01 03:16:56.000000,-1,30403.9,0,,30403.9
2023-07-01 03:17:02.000000,1,30405.9,0,,-30405.9
2023-07-01 03:17:10.000000,-1,30408.1,0,,30408.1
2023-07-01 03:18:02.000000,1,30421.2,0,,-30421.2
2023-07-01 03:18:27.000000,-1,30420.0,0,,30420.0
2023-07-01 03:19:02.000000,1,30400.0,0,,-30400.0
2023-07-01 03:19:24.000000,-1,30398.0,0,,30398.0
2023-07-01 03:20:02.000000,-1,30397.0,0,,30397.0
2023-07-01 03:21:26.000000,1,30391.4,0,,-30391.4
2023-07-01 03:22:02.000000,-1,30388.0,0,,30388.0
2023-07-01 03:24:50.000000,1,30389.9,0,,-30389.9
2023-07-01 03:25:02.000000,1,30389.9,0,,-30389.9
2023-07-01 03:26:12.000000,-1,30388.5,0,,30388.5
2023-07-01 03:27:02.000000,-1,30383.3,0,,30383.3
2023-07-01 03:27:44.000000,1,30385.0,0,,-30385.0
2023-07-01 03:28:02.000000,1,30385.9,0,,-30385.9
2023-07-01 03:29:18.000000,-1,30384.0,0,,30384.0
2023-07-01 03:31:02.000000,1,30392.0,0,,-30392.0
2023-07-01 03:31:16.000000,-1,30388.0,0,,30388.0
2023-07-01 03:32:02.000000,1,30385.9,0,,-30385.9
2023-07-01 03:33:41.000000,-1,30383.1,0,,30383.1
2023-07-01 03:34:02.000000,1,30383.1,0,,-30383.1
2023-07-01 03:35:02.000000,-2,30383.1,0,,60766.2
2023-07-01 03:36:02.000000,2,30383.1,0,,-60766.2
2023-07-01 03:37:16.000000,-1,30377.1,0,,30377.1
2023-07-01 03:38:35.000000,-1,30374.9,0,,30374.9
2023-07-01 03:39:02.000000,2,30374.9,0,,-60749.8
2023-07-01 03:39:18.000000,1,30375.9,0,,-30375.9
2023-07-01 03:41:28.000000,-2,30371.8,0,,60743.6
2023-07-01 03:42:02.000000,-1,30368.2,0,,30368.2
2023-07-01 03:45:38.000000,1,30360.2,0,,-30360.2
2023-07-01 03:46:02.000000,-1,30363.6,0,,30363.6
2023-07-01 03:46:37.000000,1,30364.9,0,,-30364.9
2023-07-01 03:48:02.000000,1,30379.9,0,,-30379.9
2023-07-01 03:51:59.000000,-1,30378.1,0,,30378.1
2023-07-01 03:52:02.000000,-1,30378.1,0,,30378.1
2023-07-01 03:52:18.000000,1,30379.9,0,,-30379.9
2023-07-01 03:53:02.000000,1,30379.9,0,,-30379.9
2023-07-01 03:53:27.000000,-1,30378.2,0,,30378.2
2023-07-01 03:54:02.000000,1,30378.2,0,,-30378.2
2023-07-01 03:55:02.000000,-2,30378.2,0,,60756.4
2023-07-01 03:55:42.000000,2,30379.8,0,,-60759.6
2023-07-01 04:00:16.000000,-1,30390.7,0,,30390.7
2023-07-01 04:01:02.000000,1,30401.1,0,,-30401.1
2023-07-01 04:03:26.000000,-1,30394.2,0,,30394.2
2023-07-01 04:04:02.000000,-1,30394.2,0,,30394.2
2023-07-01 04:05:43.000000,1,30397.9,0,,-30397.9
2023-07-01 04:06:02.000000,1,30397.9,0,,-30397.9
2023-07-01 04:06:51.000000,-1,30396.3,0,,30396.3
2023-07-01 04:07:02.000000,1,30396.3,0,,-30396.3
2023-07-01 04:08:02.000000,-2,30396.3,0,,60792.6
2023-07-01 04:09:02.000000,2,30396.3,0,,-60792.6
2023-07-01 04:09:42.000000,-3,30391.900000000005,0,,91175.70000000001
2023-07-01 04:09:43.000000,2,30388.5,0,,-60777.0
2023-07-01 04:11:02.000000,-1,30383.9,0,,30383.9
2023-07-01 04:11:09.000000,1,30386.9,0,,-30386.9
2023-07-01 04:12:02.000000,-1,30382.2,0,,30382.2
2023-07-01 04:14:02.000000,2,30382.2,0,,-60764.4
2023-07-01 04:14:15.000000,-2,30379.4,0,,60758.8
2023-07-01 04:14:23.000000,1,30376.4,0,,-30376.4
2023-07-01 04:14:24.000000,1,30371.9,0,,-30371.9
2023-07-01 04:14:25.000000,-1,30371.9,0,,30371.9
2023-07-01 04:15:02.000000,-1,30371.9,0,,30371.9
2023-07-01 04:15:06.000000,1,30373.9,0,,-30373.9
2023-07-01 04:16:02.000000,-1,30351.7,0,,30351.7
2023-07-01 04:16:18.000000,1,30345.9,0,,-30345.9
2023-07-01 04:17:02.000000,-1,30323.9,0,,30323.9
2023-07-01 04:17:09.000000,1,30325.2,0,,-30325.2
2023-07-01 04:18:02.000000,1,30334.0,0,,-30334.0
2023-07-01 04:18:13.000000,-1,30340.0,0,,30340.0
2023-07-01 04:19:02.000000,1,30347.9,0,,-30347.9
2023-07-01 04:20:24.000000,-1,30360.1,0,,30360.1
2023-07-01 04:21:02.000000,1,30364.0,0,,-30364.0
2023-07-01 04:21:03.000000,-1,30364.0,0,,30364.0
2023-07-01 04:22:02.000000,1,30333.9,0,,-30333.9
2023-07-01 04:22:19.000000,-1,30332.2,0,,30332.2
2023-07-01 04:23:02.000000,-1,30321.0,0,,30321.0
2023-07-01 04:23:20.000000,1,30323.7,0,,-30323.7
2023-07-01 04:24:02.000000,1,30328.1,0,,-30328.1
2023-07-01 04:24:09.000000,-1,30333.9,0,,30333.9
2023-07-01 04:25:02.000000,1,30330.8,0,,-30330.8
2023-07-01 04:25:16.000000,-1,30336.5,0,,30336.5
2023-07-01 04:26:02.000000,1,30338.0,0,,-30338.0
2023-07-01 04:26:03.000000,-1,30334.0,0,,30334.0
2023-07-01 04:27:02.000000,1,30331.9,0,,-30331.9
2023-07-01 04:27:28.000000,-1,30330.6,0,,30330.6
